queens_list;queens;10;0;0.0;0.25;0.0
queens_list;queens;10;0;0.0;1.2;0.0
queens_list;queens;10;0;0.0;1.2;0.0
queens_list;queens;11;0;0.0;1.27;0.0
queens_list;queens;11;0;0.0;1.26;0.0
queens_list;queens;11;0;0.0;1.26;0.0
queens_list;queens;12;0;0.0;1.53;0.0
queens_list;queens;12;0;0.0;1.54;0.0
queens_list;queens;12;0;0.0;1.53;0.0
queens_list;queens;13;1;31.35;3.32;9.43316
queens_list;queens;13;1;31.87;3.31;9.62067
queens_list;queens;13;1;32.81;3.32;9.88214
queens_list;queens;14;6;222.06;15.11;14.6942
queens_list;queens;14;6;223.21;15.21;14.67264
queens_list;queens;14;7;214.31;15.32;13.9877
queens_list;queens;15;56;1544.0;114.58;13.47484
queens_list;queens;15;54;1564.52;112.0;13.96843
queens_list;queens;15;56;1526.1;114.43;13.33595
